Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/shorten (Create),70,0,2200,2480.303962856747,876.9035000004806,6495.896499996888,200.0,3.687222793889967,0.0,2200,2800,3000,3400,4100,5000,6400,6500,6500,6500,6500
POST,/api/v1/shorten [setup],50,0,2900,2929.801483999472,2153.4682999918004,3717.1062999987043,102.0,2.633730567064262,0.0,2900,3000,3100,3100,3200,3300,3700,3700,3700,3700,3700
GET,/api/v1/urls/{code}/analytics,17,0,1500,1563.5072117643979,666.4104000083171,3100.4128999920795,199.05882352941177,0.8954683928018491,0.0,1500,1800,2000,2000,2500,3100,3100,3100,3100,3100,3100
GET,/health/ready,5,0,1300,1206.1139600002207,658.665299997665,2057.8905000002123,123.2,0.2633730567064262,0.0,1300,1300,1300,2100,2100,2100,2100,2100,2100,2100,2100
GET,/{short_code} (Redirect),318,0,960,1236.5039713836238,122.38879999495111,7080.523799988441,0.0,16.750526406528707,0.0,960,1400,1500,1700,2300,2900,3500,3900,7100,7100,7100
,Aggregated,460,0,1400,1621.5865367389874,122.38879999495111,7080.523799988441,50.21739130434783,24.23032121699121,0.0,1400,1800,2300,2600,3100,3300,4100,5000,7100,7100,7100
